id,Программа,Источник,Подтверждённые часы
963f24ea9cf4f97d,ДПП Менеджмент в сфере продвижения бизнеса в социальных сетях,"Список программ ДПП.pdf, пункт 82",
361aa7a7490642ce,ДПП Менеджмент в сфере механизации сельского хозяйства,"Список программ ДПП.pdf, пункт 83",
e5d3d32e7428e591,ДПП Менеджмент в сфере культуры и искусства,"Список программ ДПП.pdf, пункт 84",
040ccfe5ec4747f3,ДПП Мастер строительных и монтажных работ,"Список программ ДПП.pdf, пункт 85",
9cc34167a3830f97,ДПП Мастер погрузочно-разгрузочных работ,"Список программ ДПП.pdf, пункт 86",
b57225a204a32279,ДПП Контролер технического состояния транспортных средств автомобильного транспорта,"Список программ ДПП.pdf, пункт 87",
3a34e4738234498d,"ДПП Контрактная система в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд","Список программ ДПП.pdf, пункт 88",
ce5b06f0e5c42509,ДПП Кадровое делопроизводство и трудовое законодательство,"Список программ ДПП.pdf, пункт 89",
37e1470af7836f03,ДПП Диспетчер автомобильного и городского наземного электрического транспорта,"Список программ ДПП.pdf, пункт 91",
300cc750cbe536d6,ДПП Государственное и муниципальное управление,"Список программ ДПП.pdf, пункт 92",
eb3f345d632fbbbe,ДПП Горный диспетчер,"Список программ ДПП.pdf, пункт 93",
863c6968b7d17a15,ДПП Горное дело,"Список программ ДПП.pdf, пункт 94",
cff0002385ecd123,ДПП Геофизические методы исследования скважин,"Список программ ДПП.pdf, пункт 95",
e8194746b317f3ec,ДПП Геодезия,"Список программ ДПП.pdf, пункт 96",
d094dd13a8a9beb9,ДПП Водоотведение и очистка сточных вод,"Список программ ДПП.pdf, пункт 98",
095e5a9baa32889b,ДПП Внутренний финансовый контроль и аудит,"Список программ ДПП.pdf, пункт 99",
e3d063d0b0bd8394,"ДПП Бухгалтерский учет, аудит и налогообложение","Список программ ДПП.pdf, пункт 100",
59458f5abd3d29e2,"ДПП Бухгалтерский учет, анализ и аудит для руководителей","Список программ ДПП.pdf, пункт 101",
e2927a981e1d64d8,"ДПП Бухгалтерский учет, анализ и аудит","Список программ ДПП.pdf, пункт 102",
2699dd248f28640c,ДПП Бухгалтерский учет,"Список программ ДПП.pdf, пункт 103",
